,id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
36,36,2013,1,1,628.0,630,-2.0,1137.0,1140,-3.0,AA,413,N3BAAA,JFK,SJU,192.0,1598,6,30,2013-01-01 06:00:00,American Airlines Inc.
37,37,2013,1,1,628.0,630,-2.0,1016.0,947,29.0,UA,1665,N33289,EWR,LAX,366.0,2454,6,30,2013-01-01 06:00:00,United Air Lines Inc.
38,38,2013,1,1,629.0,630,-1.0,824.0,810,14.0,AA,303,N3CYAA,LGA,ORD,140.0,733,6,30,2013-01-01 06:00:00,American Airlines Inc.
39,39,2013,1,1,629.0,630,-1.0,721.0,740,-19.0,WN,4646,N273WN,LGA,BWI,40.0,185,6,30,2013-01-01 06:00:00,Southwest Airlines Co.
40,40,2013,1,1,629.0,630,-1.0,824.0,833,-9.0,US,1019,N426US,EWR,CLT,91.0,529,6,30,2013-01-01 06:00:00,US Airways Inc.
41,41,2013,1,1,632.0,608,24.0,740.0,728,12.0,EV,4144,N13553,EWR,IAD,52.0,212,6,8,2013-01-01 06:00:00,ExpressJet Airlines Inc.
42,42,2013,1,1,635.0,635,0.0,1028.0,940,48.0,AA,711,N3GKAA,LGA,DFW,248.0,1389,6,35,2013-01-01 06:00:00,American Airlines Inc.
43,43,2013,1,1,637.0,645,-8.0,930.0,935,-5.0,B6,389,N709JB,LGA,MCO,144.0,950,6,45,2013-01-01 06:00:00,JetBlue Airways
44,44,2013,1,1,639.0,640,-1.0,739.0,749,-10.0,B6,1002,N805JB,JFK,BOS,41.0,187,6,40,2013-01-01 06:00:00,JetBlue Airways
45,45,2013,1,1,643.0,646,-3.0,922.0,940,-18.0,UA,556,N497UA,EWR,PBI,146.0,1023,6,46,2013-01-01 06:00:00,United Air Lines Inc.
46,46,2013,1,1,643.0,645,-2.0,837.0,848,-11.0,US,926,N178US,EWR,CLT,91.0,529,6,45,2013-01-01 06:00:00,US Airways Inc.
47,47,2013,1,1,644.0,636,8.0,931.0,940,-9.0,UA,1701,N75435,EWR,FLL,151.0,1065,6,36,2013-01-01 06:00:00,United Air Lines Inc.
48,48,2013,1,1,645.0,647,-2.0,815.0,810,5.0,B6,102,N796JB,JFK,BUF,63.0,301,6,47,2013-01-01 06:00:00,JetBlue Airways
49,49,2013,1,1,646.0,645,1.0,910.0,916,-6.0,UA,883,N569UA,LGA,DEN,243.0,1620,6,45,2013-01-01 06:00:00,United Air Lines Inc.
50,50,2013,1,1,646.0,645,1.0,1023.0,1030,-7.0,UA,1496,N38727,EWR,SNA,380.0,2434,6,45,2013-01-01 06:00:00,United Air Lines Inc.
51,51,2013,1,1,651.0,655,-4.0,936.0,942,-6.0,B6,203,N558JB,JFK,LAS,323.0,2248,6,55,2013-01-01 06:00:00,JetBlue Airways
52,52,2013,1,1,652.0,655,-3.0,932.0,921,11.0,B6,117,N178JB,JFK,MSY,191.0,1182,6,55,2013-01-01 06:00:00,JetBlue Airways
53,53,2013,1,1,653.0,700,-7.0,936.0,1009,-33.0,DL,1383,N327NW,LGA,PBI,149.0,1035,7,0,2013-01-01 07:00:00,Delta Air Lines Inc.
54,54,2013,1,1,655.0,655,0.0,1021.0,1030,-9.0,DL,1415,N3763D,JFK,SLC,294.0,1990,6,55,2013-01-01 06:00:00,Delta Air Lines Inc.
55,55,2013,1,1,655.0,700,-5.0,1037.0,1045,-8.0,DL,1865,N705TW,JFK,SFO,362.0,2586,7,0,2013-01-01 07:00:00,Delta Air Lines Inc.
56,56,2013,1,1,655.0,700,-5.0,1002.0,1020,-18.0,DL,2003,N997DL,LGA,MIA,161.0,1096,7,0,2013-01-01 07:00:00,Delta Air Lines Inc.
57,57,2013,1,1,656.0,700,-4.0,854.0,850,4.0,AA,305,N4WNAA,LGA,ORD,143.0,733,7,0,2013-01-01 07:00:00,American Airlines Inc.
58,58,2013,1,1,656.0,659,-3.0,949.0,959,-10.0,AA,1815,N5FMAA,JFK,MCO,142.0,944,6,59,2013-01-01 06:00:00,American Airlines Inc.
59,59,2013,1,1,656.0,705,-9.0,1007.0,940,27.0,MQ,4534,N722MQ,LGA,XNA,233.0,1147,7,5,2013-01-01 07:00:00,Envoy Air
60,60,2013,1,1,656.0,700,-4.0,948.0,1011,-23.0,UA,1115,N24212,EWR,TPA,156.0,997,7,0,2013-01-01 07:00:00,United Air Lines Inc.
61,61,2013,1,1,657.0,700,-3.0,959.0,1013,-14.0,DL,1879,N318NB,LGA,FLL,164.0,1076,7,0,2013-01-01 07:00:00,Delta Air Lines Inc.
62,62,2013,1,1,658.0,700,-2.0,944.0,939,5.0,DL,1547,N6703D,LGA,ATL,126.0,762,7,0,2013-01-01 07:00:00,Delta Air Lines Inc.
63,63,2013,1,1,658.0,700,-2.0,1027.0,1025,2.0,VX,399,N627VA,JFK,LAX,361.0,2475,7,0,2013-01-01 07:00:00,Virgin America
64,64,2013,1,1,659.0,700,-1.0,1008.0,1015,-7.0,AA,2279,N3EKAA,LGA,MIA,159.0,1096,7,0,2013-01-01 07:00:00,American Airlines Inc.
65,65,2013,1,1,659.0,700,-1.0,1008.0,1007,1.0,B6,981,N646JB,JFK,FLL,156.0,1069,7,0,2013-01-01 07:00:00,JetBlue Airways
66,66,2013,1,1,659.0,705,-6.0,907.0,913,-6.0,DL,831,N998DL,LGA,DTW,105.0,502,7,5,2013-01-01 07:00:00,Delta Air Lines Inc.
67,67,2013,1,1,659.0,700,-1.0,959.0,1008,-9.0,UA,960,N838UA,EWR,RSW,164.0,1068,7,0,2013-01-01 07:00:00,United Air Lines Inc.
68,68,2013,1,1,701.0,700,1.0,1123.0,1154,-31.0,UA,1203,N77296,EWR,SJU,188.0,1608,7,0,2013-01-01 07:00:00,United Air Lines Inc.
69,69,2013,1,1,702.0,700,2.0,1058.0,1014,44.0,B6,671,N779JB,JFK,LAX,381.0,2475,7,0,2013-01-01 07:00:00,JetBlue Airways
70,70,2013,1,1,709.0,700,9.0,852.0,832,20.0,UA,1092,N26226,LGA,ORD,135.0,733,7,0,2013-01-01 07:00:00,United Air Lines Inc.
71,71,2013,1,1,711.0,715,-4.0,1151.0,1206,-15.0,B6,715,N651JB,JFK,SJU,190.0,1598,7,15,2013-01-01 07:00:00,JetBlue Airways
72,72,2013,1,1,712.0,715,-3.0,1023.0,1035,-12.0,AA,825,N3ETAA,JFK,FLL,159.0,1069,7,15,2013-01-01 07:00:00,American Airlines Inc.
73,73,2013,1,1,715.0,713,2.0,911.0,850,21.0,UA,544,N841UA,EWR,ORD,156.0,719,7,13,2013-01-01 07:00:00,United Air Lines Inc.
74,74,2013,1,1,717.0,720,-3.0,850.0,840,10.0,FL,850,N978AT,LGA,MKE,134.0,738,7,20,2013-01-01 07:00:00,AirTran Airways Corporation
75,75,2013,1,1,719.0,721,-2.0,1017.0,1012,5.0,B6,987,N562JB,JFK,MCO,147.0,944,7,21,2013-01-01 07:00:00,JetBlue Airways
76,76,2013,1,1,723.0,725,-2.0,1013.0,1017,-4.0,UA,962,N514UA,EWR,PBI,153.0,1023,7,25,2013-01-01 07:00:00,United Air Lines Inc.
77,77,2013,1,1,724.0,730,-6.0,1111.0,1040,31.0,AA,715,N541AA,LGA,DFW,254.0,1389,7,30,2013-01-01 07:00:00,American Airlines Inc.
78,78,2013,1,1,724.0,725,-1.0,1020.0,1030,-10.0,AS,11,N594AS,EWR,SEA,338.0,2402,7,25,2013-01-01 07:00:00,Alaska Airlines Inc.
79,79,2013,1,1,725.0,730,-5.0,1052.0,1040,12.0,AA,2083,N4WRAA,EWR,DFW,238.0,1372,7,30,2013-01-01 07:00:00,American Airlines Inc.
80,80,2013,1,1,727.0,730,-3.0,959.0,952,7.0,UA,1162,N37462,EWR,DEN,254.0,1605,7,30,2013-01-01 07:00:00,United Air Lines Inc.
81,81,2013,1,1,728.0,732,-4.0,1041.0,1038,3.0,UA,473,N488UA,LGA,IAH,238.0,1416,7,32,2013-01-01 07:00:00,United Air Lines Inc.
82,82,2013,1,1,729.0,730,-1.0,1049.0,1115,-26.0,VX,11,N635VA,JFK,SFO,356.0,2586,7,30,2013-01-01 07:00:00,Virgin America
83,83,2013,1,1,732.0,735,-3.0,857.0,858,-1.0,B6,20,N304JB,JFK,ROC,64.0,264,7,35,2013-01-01 07:00:00,JetBlue Airways
84,84,2013,1,1,732.0,729,3.0,1041.0,1039,2.0,B6,1601,N563JB,LGA,RSW,167.0,1080,7,29,2013-01-01 07:00:00,JetBlue Airways
85,85,2013,1,1,732.0,645,47.0,1011.0,941,30.0,UA,1111,N37456,EWR,MCO,145.0,937,6,45,2013-01-01 06:00:00,United Air Lines Inc.
86,86,2013,1,1,733.0,736,-3.0,854.0,850,4.0,B6,44,N552JB,JFK,SYR,54.0,209,7,36,2013-01-01 07:00:00,JetBlue Airways
87,87,2013,1,1,734.0,737,-3.0,1047.0,1113,-26.0,B6,643,N625JB,JFK,SFO,350.0,2586,7,37,2013-01-01 07:00:00,JetBlue Airways
88,88,2013,1,1,739.0,745,-6.0,918.0,930,-12.0,AA,309,N4WPAA,LGA,ORD,137.0,733,7,45,2013-01-01 07:00:00,American Airlines Inc.
89,89,2013,1,1,739.0,739,0.0,1104.0,1038,26.0,UA,1479,N37408,EWR,IAH,249.0,1400,7,39,2013-01-01 07:00:00,United Air Lines Inc.
90,90,2013,1,1,741.0,745,-4.0,1038.0,1036,2.0,B6,983,N633JB,LGA,TPA,158.0,1010,7,45,2013-01-01 07:00:00,JetBlue Airways
91,91,2013,1,1,743.0,730,13.0,1107.0,1100,7.0,AA,33,N338AA,JFK,LAX,358.0,2475,7,30,2013-01-01 07:00:00,American Airlines Inc.
92,92,2013,1,1,743.0,749,-6.0,1043.0,1054,-11.0,B6,341,N624JB,JFK,SRQ,164.0,1041,7,49,2013-01-01 07:00:00,JetBlue Airways
93,93,2013,1,1,743.0,730,13.0,1059.0,1056,3.0,DL,495,N3760C,JFK,SEA,349.0,2422,7,30,2013-01-01 07:00:00,Delta Air Lines Inc.
94,94,2013,1,1,745.0,745,0.0,1135.0,1125,10.0,AA,59,N336AA,JFK,SFO,378.0,2586,7,45,2013-01-01 07:00:00,American Airlines Inc.
95,95,2013,1,1,746.0,746,0.0,1119.0,1129,-10.0,UA,1668,N24224,EWR,SFO,373.0,2565,7,46,2013-01-01 07:00:00,United Air Lines Inc.
96,96,2013,1,1,749.0,710,39.0,939.0,850,49.0,MQ,3737,N508MQ,EWR,ORD,148.0,719,7,10,2013-01-01 07:00:00,Envoy Air
97,97,2013,1,1,752.0,755,-3.0,1041.0,1059,-18.0,DL,2263,N325US,LGA,MCO,140.0,950,7,55,2013-01-01 07:00:00,Delta Air Lines Inc.
98,98,2013,1,1,752.0,750,2.0,1025.0,1029,-4.0,UA,477,N511UA,LGA,DEN,249.0,1620,7,50,2013-01-01 07:00:00,United Air Lines Inc.
99,99,2013,1,1,752.0,759,-7.0,955.0,959,-4.0,US,1733,N543UW,LGA,CLT,96.0,544,7,59,2013-01-01 07:00:00,US Airways Inc.
100,100,2013,1,1,753.0,755,-2.0,1056.0,1110,-14.0,AA,2267,N3HMAA,LGA,MIA,157.0,1096,7,55,2013-01-01 07:00:00,American Airlines Inc.
101,101,2013,1,1,754.0,759,-5.0,1039.0,1041,-2.0,DL,2047,N935DL,LGA,ATL,126.0,762,7,59,2013-01-01 07:00:00,Delta Air Lines Inc.
102,102,2013,1,1,754.0,755,-1.0,1103.0,1030,33.0,WN,733,N789SW,LGA,DEN,279.0,1620,7,55,2013-01-01 07:00:00,Southwest Airlines Co.
103,103,2013,1,1,758.0,800,-2.0,1053.0,1054,-1.0,B6,517,N645JB,EWR,MCO,142.0,937,8,0,2013-01-01 08:00:00,JetBlue Airways
104,104,2013,1,1,759.0,800,-1.0,1057.0,1127,-30.0,DL,1843,N955DL,JFK,MIA,158.0,1089,8,0,2013-01-01 08:00:00,Delta Air Lines Inc.
105,105,2013,1,1,800.0,800,0.0,1022.0,1014,8.0,DL,2119,N317US,LGA,MSP,171.0,1020,8,0,2013-01-01 08:00:00,Delta Air Lines Inc.
106,106,2013,1,1,800.0,810,-10.0,949.0,955,-6.0,MQ,4406,N828MQ,JFK,RDU,80.0,427,8,10,2013-01-01 08:00:00,Envoy Air
107,107,2013,1,1,801.0,805,-4.0,900.0,919,-19.0,B6,1172,N206JB,EWR,BOS,38.0,200,8,5,2013-01-01 08:00:00,JetBlue Airways
108,108,2013,1,1,803.0,810,-7.0,903.0,925,-22.0,AA,1838,N3GEAA,JFK,BOS,38.0,187,8,10,2013-01-01 08:00:00,American Airlines Inc.
109,109,2013,1,1,803.0,800,3.0,1132.0,1144,-12.0,UA,223,N510UA,JFK,SFO,369.0,2586,8,0,2013-01-01 08:00:00,United Air Lines Inc.
110,110,2013,1,1,804.0,810,-6.0,1103.0,1116,-13.0,DL,1959,N947DL,JFK,MCO,147.0,944,8,10,2013-01-01 08:00:00,Delta Air Lines Inc.
111,111,2013,1,1,805.0,805,0.0,1015.0,1005,10.0,B6,219,N273JB,JFK,CLT,98.0,541,8,5,2013-01-01 08:00:00,JetBlue Airways
112,112,2013,1,1,805.0,800,5.0,1118.0,1106,12.0,B6,3,N570JB,JFK,FLL,165.0,1069,8,0,2013-01-01 08:00:00,JetBlue Airways
113,113,2013,1,1,805.0,815,-10.0,1006.0,1010,-4.0,MQ,4490,N739MQ,LGA,CMH,101.0,479,8,15,2013-01-01 08:00:00,Envoy Air
114,114,2013,1,1,807.0,810,-3.0,1043.0,1043,0.0,DL,269,N308DE,JFK,ATL,126.0,760,8,10,2013-01-01 08:00:00,Delta Air Lines Inc.
115,115,2013,1,1,809.0,815,-6.0,1043.0,1050,-7.0,EV,4388,N14542,EWR,JAX,132.0,820,8,15,2013-01-01 08:00:00,ExpressJet Airlines Inc.
116,116,2013,1,1,810.0,810,0.0,1048.0,1037,11.0,9E,3538,N915XJ,JFK,MSP,189.0,1029,8,10,2013-01-01 08:00:00,Endeavor Air Inc.
117,117,2013,1,1,810.0,815,-5.0,1100.0,1128,-28.0,DL,2395,N349NW,LGA,PBI,149.0,1035,8,15,2013-01-01 08:00:00,Delta Air Lines Inc.
118,118,2013,1,1,811.0,815,-4.0,1006.0,1032,-26.0,EV,4260,N11193,EWR,CHS,101.0,628,8,15,2013-01-01 08:00:00,ExpressJet Airlines Inc.
119,119,2013,1,1,811.0,630,101.0,1047.0,830,137.0,MQ,4576,N531MQ,LGA,CLT,118.0,544,6,30,2013-01-01 06:00:00,Envoy Air
120,120,2013,1,1,811.0,815,-4.0,1026.0,1016,10.0,US,675,N654AW,EWR,CLT,96.0,529,8,15,2013-01-01 08:00:00,US Airways Inc.
121,121,2013,1,1,812.0,814,-2.0,1040.0,1017,23.0,EV,4537,N17108,EWR,MEM,180.0,946,8,14,2013-01-01 08:00:00,ExpressJet Airlines Inc.
122,122,2013,1,1,813.0,815,-2.0,1103.0,1056,7.0,DL,914,N375NC,LGA,DEN,267.0,1620,8,15,2013-01-01 08:00:00,Delta Air Lines Inc.
123,123,2013,1,1,814.0,810,4.0,1047.0,1030,17.0,FL,346,N977AT,LGA,ATL,132.0,762,8,10,2013-01-01 08:00:00,AirTran Airways Corporation
124,124,2013,1,1,817.0,810,7.0,1005.0,948,17.0,B6,1051,N228JB,JFK,PIT,86.0,340,8,10,2013-01-01 08:00:00,JetBlue Airways
125,125,2013,1,1,820.0,820,0.0,1254.0,1310,-16.0,B6,717,N527JB,JFK,SJU,190.0,1598,8,20,2013-01-01 08:00:00,JetBlue Airways
126,126,2013,1,1,820.0,830,-10.0,940.0,954,-14.0,DL,27,N324US,JFK,BOS,36.0,187,8,30,2013-01-01 08:00:00,Delta Air Lines Inc.
127,127,2013,1,1,820.0,820,0.0,1249.0,1329,-40.0,DL,301,N900PC,JFK,SJU,182.0,1598,8,20,2013-01-01 08:00:00,Delta Air Lines Inc.
128,128,2013,1,1,821.0,820,1.0,1153.0,1129,24.0,B6,181,N521JB,JFK,SAN,354.0,2446,8,20,2013-01-01 08:00:00,JetBlue Airways
129,129,2013,1,1,821.0,825,-4.0,932.0,945,-13.0,MQ,4418,N846MQ,JFK,DCA,52.0,213,8,25,2013-01-01 08:00:00,Envoy Air
130,130,2013,1,1,822.0,830,-8.0,1014.0,1016,-2.0,EV,4104,N12540,LGA,CLE,91.0,419,8,30,2013-01-01 08:00:00,ExpressJet Airlines Inc.
131,131,2013,1,1,823.0,825,-2.0,1019.0,1024,-5.0,US,487,N655AW,JFK,CLT,96.0,541,8,25,2013-01-01 08:00:00,US Airways Inc.
132,132,2013,1,1,823.0,823,0.0,1151.0,1135,16.0,UA,1223,N39728,EWR,DFW,250.0,1372,8,23,2013-01-01 08:00:00,United Air Lines Inc.
133,133,2013,1,1,824.0,830,-6.0,1027.0,1025,2.0,AA,1855,N573AA,LGA,STL,169.0,888,8,30,2013-01-01 08:00:00,American Airlines Inc.
134,134,2013,1,1,825.0,827,-2.0,1058.0,1105,-7.0,B6,611,N292JB,JFK,JAX,130.0,828,8,27,2013-01-01 08:00:00,JetBlue Airways
135,135,2013,1,1,826.0,715,71.0,1136.0,1045,51.0,AA,443,N3GVAA,JFK,MIA,160.0,1089,7,15,2013-01-01 07:00:00,American Airlines Inc.
136,136,2013,1,1,826.0,817,9.0,1145.0,1158,-13.0,UA,1480,N76522,EWR,SFO,357.0,2565,8,17,2013-01-01 08:00:00,United Air Lines Inc.
137,137,2013,1,1,828.0,830,-2.0,1027.0,1012,15.0,B6,905,N274JB,JFK,ORD,160.0,740,8,30,2013-01-01 08:00:00,JetBlue Airways
138,138,2013,1,1,828.0,823,5.0,1150.0,1143,7.0,UA,1506,N76528,EWR,LAX,359.0,2454,8,23,2013-01-01 08:00:00,United Air Lines Inc.
139,139,2013,1,1,829.0,830,-1.0,1152.0,1200,-8.0,UA,443,N554UA,JFK,LAX,360.0,2475,8,30,2013-01-01 08:00:00,United Air Lines Inc.
140,140,2013,1,1,829.0,830,-1.0,1117.0,1140,-23.0,UA,1592,N75425,EWR,MCO,145.0,937,8,30,2013-01-01 08:00:00,United Air Lines Inc.
141,141,2013,1,1,830.0,830,0.0,1018.0,1015,3.0,AA,313,N4YCAA,LGA,ORD,137.0,733,8,30,2013-01-01 08:00:00,American Airlines Inc.
142,142,2013,1,1,830.0,835,-5.0,1052.0,1105,-13.0,MQ,4610,N513MQ,LGA,ATL,123.0,762,8,35,2013-01-01 08:00:00,Envoy Air
143,143,2013,1,1,831.0,835,-4.0,1021.0,1039,-18.0,EV,4412,N13969,EWR,MYR,92.0,550,8,35,2013-01-01 08:00:00,ExpressJet Airlines Inc.
144,144,2013,1,1,832.0,840,-8.0,1006.0,1030,-24.0,MQ,4521,N725MQ,LGA,RDU,77.0,431,8,40,2013-01-01 08:00:00,Envoy Air
145,145,2013,1,1,833.0,835,-2.0,1134.0,1102,32.0,F9,835,N203FR,LGA,DEN,257.0,1620,8,35,2013-01-01 08:00:00,Frontier Airlines Inc.
146,146,2013,1,1,835.0,835,0.0,1210.0,1150,20.0,AA,717,N3BDAA,LGA,DFW,249.0,1389,8,35,2013-01-01 08:00:00,American Airlines Inc.
147,147,2013,1,1,839.0,850,-11.0,1027.0,1035,-8.0,MQ,4558,N711MQ,LGA,CLE,88.0,419,8,50,2013-01-01 08:00:00,Envoy Air
148,148,2013,1,1,840.0,845,-5.0,1311.0,1350,-39.0,AA,1357,N5FSAA,JFK,SJU,188.0,1598,8,45,2013-01-01 08:00:00,American Airlines Inc.
149,149,2013,1,1,840.0,845,-5.0,1053.0,1102,-9.0,DL,2304,N926DL,JFK,DTW,108.0,509,8,45,2013-01-01 08:00:00,Delta Air Lines Inc.
150,150,2013,1,1,846.0,845,1.0,1138.0,1205,-27.0,B6,553,N564JB,EWR,RSW,157.0,1068,8,45,2013-01-01 08:00:00,JetBlue Airways
151,151,2013,1,1,848.0,1835,853.0,1001.0,1950,851.0,MQ,3944,N942MQ,JFK,BWI,41.0,184,18,35,2013-01-01 18:00:00,Envoy Air
152,152,2013,1,1,848.0,851,-3.0,1155.0,1136,19.0,UA,1741,N27724,EWR,JAC,275.0,1874,8,51,2013-01-01 08:00:00,United Air Lines Inc.
153,153,2013,1,1,851.0,851,0.0,1032.0,1036,-4.0,EV,4548,N19966,EWR,RDU,75.0,416,8,51,2013-01-01 08:00:00,ExpressJet Airlines Inc.
154,154,2013,1,1,851.0,859,-8.0,1102.0,1105,-3.0,DL,869,N361NB,EWR,DTW,106.0,488,8,59,2013-01-01 08:00:00,Delta Air Lines Inc.
155,155,2013,1,1,851.0,840,11.0,1215.0,1206,9.0,UA,1626,N39297,EWR,SAN,367.0,2425,8,40,2013-01-01 08:00:00,United Air Lines Inc.
156,156,2013,1,1,852.0,855,-3.0,1046.0,1020,26.0,WN,3848,N777QC,EWR,MDW,146.0,711,8,55,2013-01-01 08:00:00,Southwest Airlines Co.
157,157,2013,1,1,853.0,845,8.0,1147.0,1145,2.0,B6,59,N184JB,JFK,TPA,159.0,1005,8,45,2013-01-01 08:00:00,JetBlue Airways
158,158,2013,1,1,855.0,859,-4.0,1143.0,1145,-2.0,DL,1747,N646DL,LGA,ATL,129.0,762,8,59,2013-01-01 08:00:00,Delta Air Lines Inc.
159,159,2013,1,1,856.0,900,-4.0,1226.0,1220,6.0,AA,1,N324AA,JFK,LAX,358.0,2475,9,0,2013-01-01 09:00:00,American Airlines Inc.
